# Source     : all
# Name       : sampledSurface
# Cells      : 559600
# Volume     : 4.859558e-09
# Scale factor: 1.000000e+00
# Time       	volIntegrateU
0.0025       	4.325740e-09 7.502354e-13 -1.829021e-18
0.00251      	4.332416e-09 7.534100e-13 -1.850475e-18
0.00252      	4.339032e-09 7.564918e-13 -1.871838e-18
0.00253      	4.345590e-09 7.592696e-13 -1.893462e-18
0.00254      	4.352088e-09 7.618801e-13 -1.914979e-18
0.00255      	4.358527e-09 7.643032e-13 -1.936742e-18
0.00256      	4.364909e-09 7.663155e-13 -1.958389e-18
0.00257      	4.371232e-09 7.682792e-13 -1.980273e-18
0.00258      	4.377498e-09 7.701957e-13 -2.002005e-18
0.00259      	4.383707e-09 7.720635e-13 -2.023993e-18
0.0026       	4.389859e-09 7.737307e-13 -2.045833e-18
0.00261      	4.395955e-09 7.752159e-13 -2.067917e-18
0.00262      	4.401995e-09 7.765186e-13 -2.089820e-18
0.00263      	4.407979e-09 7.776367e-13 -2.111961e-18
0.00264      	4.413908e-09 7.785601e-13 -2.133921e-18
0.00265      	4.419781e-09 7.792838e-13 -2.156113e-18
0.00266      	4.425600e-09 7.798211e-13 -2.178103e-18
0.00267      	4.431365e-09 7.801702e-13 -2.200320e-18
0.00268      	4.437075e-09 7.803186e-13 -2.222350e-18
0.00269      	4.442733e-09 7.802640e-13 -2.244605e-18
0.0027       	4.448337e-09 7.799788e-13 -2.266651e-18
0.00271      	4.453889e-09 7.794575e-13 -2.288937e-18
0.00272      	4.459388e-09 7.786993e-13 -2.310994e-18
0.00273      	4.464835e-09 7.777245e-13 -2.333270e-18
0.00274      	4.470231e-09 7.765254e-13 -2.355314e-18
0.00275      	4.475576e-09 7.750853e-13 -2.377586e-18
0.00276      	4.480869e-09 7.734092e-13 -2.399618e-18
0.00277      	4.486113e-09 7.715018e-13 -2.421884e-18
0.00278      	4.491306e-09 7.693350e-13 -2.443913e-18
0.00279      	4.496449e-09 7.669409e-13 -2.466169e-18
0.0028       	4.501543e-09 7.642928e-13 -2.488188e-18
0.00281      	4.506588e-09 7.613808e-13 -2.510440e-18
0.00282      	4.511584e-09 7.582063e-13 -2.532445e-18
0.00283      	4.516532e-09 7.547693e-13 -2.554614e-18
0.00284      	4.521432e-09 7.511301e-13 -2.576692e-18
0.00285      	4.526284e-09 7.472407e-13 -2.598961e-18
0.00286      	4.531090e-09 7.430728e-13 -2.621065e-18
0.00287      	4.535848e-09 7.386132e-13 -2.643410e-18
0.00288      	4.540561e-09 7.339079e-13 -2.665586e-18
0.00289      	4.545227e-09 7.289479e-13 -2.687973e-18
0.0029       	4.549847e-09 7.237215e-13 -2.710186e-18
0.00291      	4.554422e-09 7.182441e-13 -2.732527e-18
0.00292      	4.558952e-09 7.125278e-13 -2.754625e-18
0.00293      	4.563437e-09 7.066008e-13 -2.776863e-18
0.00294      	4.567878e-09 7.003680e-13 -2.798901e-18
0.00295      	4.572276e-09 6.938437e-13 -2.821092e-18
0.00296      	4.576630e-09 6.870326e-13 -2.843155e-18
0.00297      	4.580941e-09 6.798829e-13 -2.865246e-18
0.00298      	4.585209e-09 6.725121e-13 -2.887347e-18
0.00299      	4.589434e-09 6.648615e-13 -2.909532e-18
0.003        	4.593617e-09 6.569299e-13 -2.931649e-18
0.00301      	4.597758e-09 6.487226e-13 -2.953787e-18
0.00302      	4.601858e-09 6.402539e-13 -2.975841e-18
0.00303      	4.605917e-09 6.315225e-13 -2.997885e-18
0.00304      	4.609934e-09 6.225177e-13 -3.019765e-18
0.00305      	4.613910e-09 6.132711e-13 -3.041654e-18
0.00306      	4.617847e-09 6.037512e-13 -3.063460e-18
0.00307      	4.621744e-09 5.939579e-13 -3.085231e-18
0.00308      	4.625601e-09 5.839110e-13 -3.106933e-18
0.00309      	4.629420e-09 5.736108e-13 -3.128512e-18
0.0031       	4.633199e-09 5.630634e-13 -3.150119e-18
0.00311      	4.636941e-09 5.522707e-13 -3.171486e-18
0.00312      	4.640644e-09 5.412417e-13 -3.193023e-18
0.00313      	4.644309e-09 5.299587e-13 -3.214117e-18
0.00314      	4.647936e-09 5.184647e-13 -3.235567e-18
0.00315      	4.651527e-09 5.067388e-13 -3.256448e-18
0.00316      	4.655080e-09 4.947804e-13 -3.277709e-18
0.00317      	4.658597e-09 4.825759e-13 -3.298393e-18
0.00318      	4.662078e-09 4.701677e-13 -3.319549e-18
0.00319      	4.665523e-09 4.575312e-13 -3.340145e-18
0.0032       	4.668932e-09 4.446957e-13 -3.361125e-18
0.00321      	4.672305e-09 4.316534e-13 -3.381659e-18
0.00322      	4.675644e-09 4.183889e-13 -3.402563e-18
0.00323      	4.678948e-09 4.049427e-13 -3.422998e-18
0.00324      	4.682217e-09 3.913259e-13 -3.443780e-18
0.00325      	4.685453e-09 3.775472e-13 -3.464074e-18
0.00326      	4.688654e-09 3.635953e-13 -3.484708e-18
0.00327      	4.691822e-09 3.495023e-13 -3.504838e-18
0.00328      	4.694956e-09 3.352629e-13 -3.525283e-18
0.00329      	4.698058e-09 3.208923e-13 -3.545225e-18
0.0033       	4.701127e-09 3.064050e-13 -3.565503e-18
0.00331      	4.704164e-09 2.917871e-13 -3.585218e-18
0.00332      	4.707168e-09 2.770463e-13 -3.605301e-18
0.00333      	4.710141e-09 2.621922e-13 -3.624873e-18
0.00334      	4.713082e-09 2.472390e-13 -3.644688e-18
0.00335      	4.715992e-09 2.321905e-13 -3.663990e-18
0.00336      	4.718870e-09 2.170476e-13 -3.683691e-18
0.00337      	4.721718e-09 2.018262e-13 -3.702797e-18
0.00338      	4.724536e-09 1.865479e-13 -3.722311e-18
0.00339      	4.727323e-09 1.712133e-13 -3.741101e-18
0.0034       	4.730081e-09 1.558408e-13 -3.760302e-18
0.00341      	4.732809e-09 1.404358e-13 -3.778891e-18
0.00342      	4.735507e-09 1.250025e-13 -3.797969e-18
0.00343      	4.738176e-09 1.095562e-13 -3.816349e-18
0.00344      	4.740817e-09 9.410259e-14 -3.835263e-18
0.00345      	4.743428e-09 7.865342e-14 -3.853435e-18
0.00346      	4.746012e-09 6.322093e-14 -3.872147e-18
0.00347      	4.748567e-09 4.781227e-14 -3.890077e-18
0.00348      	4.751095e-09 3.243822e-14 -3.908545e-18
